Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	21	15
OG0000318	18	12
OG0000319	20	19
OG0000320	13	9
OG0000321	13	9
OG0000322	70	70
OG0000323	16	12
OG0000324	48	39
OG0000325	32	30
OG0000326	20	16
OG0000327	11	8
OG0000328	13	13
OG0000329	15	7
OG0000330	15	14
OG0000331	9	8
OG0000332	12	10
OG0000333	13	9
OG0000334	20	14
OG0000335	15	10
OG0000336	63	63
OG0000337	23	22
OG0000338	27	24
OG0000339	12	10
OG0000340	10	8
OG0000341	12	8
OG0000342	10	7
OG0000343	13	11
OG0000344	12	11
OG0000345	29	28
OG0000346	35	29
OG0000347	31	30
OG0000348	13	10
OG0000349	11	10
OG0000350	12	11
OG0000351	68	68
OG0000352	34	32
OG0000353	29	25
OG0000354	11	9
OG0000355	11	9
OG0000356	9	9
OG0000357	10	9
OG0000358	12	6
OG0000359	37	31
OG0000360	20	18
OG0000361	9	8
OG0000362	28	9
OG0000363	12	7
OG0000364	31	26
OG0000365	21	14
OG0000366	25	25
OG0000367	10	7
OG0000368	13	13
OG0000369	11	10
OG0000370	14	7
OG0000371	7	5
OG0000372	9	8
OG0000373	11	9
OG0000374	8	6
OG0000375	24	23
OG0000376	12	12
OG0000377	9	7
OG0000378	27	24
OG0000379	10	9
OG0000380	8	6
OG0000381	37	30
OG0000382	14	10
OG0000383	12	9
OG0000384	41	34
OG0000385	16	14
OG0000386	14	13
OG0000387	48	43
OG0000388	30	19
OG0000389	12	10
OG0000390	19	18
OG0000391	15	12
OG0000392	12	10
OG0000393	14	12
OG0000394	10	9
OG0000395	9	3
OG0000396	13	8
OG0000397	16	13
OG0000398	13	10
OG0000399	5	4
OG0000400	11	11
OG0000401	10	9
OG0000402	8	7
OG0000403	39	29
OG0000404	14	13
OG0000405	9	9
OG0000406	11	11
OG0000407	12	10
OG0000408	9	6
OG0000409	13	13
OG0000410	13	13
OG0000411	9	8
OG0000412	9	5
OG0000413	14	13
OG0000414	10	9
OG0000415	7	4
OG0000416	11	11
OG0000417	13	9
OG0000418	15	11
OG0000419	8	6
OG0000420	10	9
OG0000421	13	9
OG0000422	11	9
OG0000423	8	8
OG0000424	9	7
OG0000425	22	17
OG0000426	17	14
OG0000427	49	43
OG0000428	45	41
OG0000429	62	62
OG0000430	11	8
OG0000431	16	11
OG0000432	11	7
OG0000433	14	13
OG0000434	17	17
OG0000435	10	9
OG0000436	29	26
OG0000437	9	7
OG0000438	23	21
OG0000439	35	31
OG0000440	11	7
OG0000441	15	12
OG0000442	8	7
OG0000443	24	17
OG0000444	12	11
OG0000445	32	31
OG0000446	9	8
OG0000447	16	12
OG0000448	11	10
OG0000449	10	8
OG0000450	14	12
OG0000451	13	9
OG0000452	27	17
OG0000453	62	62
OG0000454	30	29
OG0000455	7	7
OG0000456	6	5
OG0000457	12	10
OG0000458	6	5
OG0000459	32	28
OG0000460	7	4
OG0000461	9	8
OG0000462	17	12
OG0000463	14	11
OG0000464	15	12
OG0000465	9	8
OG0000466	9	9
OG0000467	33	30
OG0000468	8	4
OG0000469	11	8
OG0000470	11	11
OG0000471	9	7
OG0000472	12	11
OG0000473	40	37
OG0000474	7	7
OG0000475	34	34
OG0000476	11	10
OG0000477	12	9
OG0000478	15	9
OG0000479	8	5
OG0000480	10	8
OG0000481	4	2
OG0000482	27	22
OG0000483	12	6
OG0000484	12	8
OG0000485	24	20
OG0000486	22	16
OG0000487	10	7
OG0000488	12	9
OG0000489	32	32
OG0000490	28	23
OG0000491	6	6
OG0000492	12	9
OG0000493	26	24
OG0000494	11	8
OG0000495	10	9
OG0000496	21	9
OG0000497	16	10
OG0000498	13	12
OG0000499	11	10
OG0000500	14	12
OG0000501	5	5
OG0000502	18	17
OG0000503	18	16
OG0000504	9	9
OG0000505	11	10
OG0000506	29	24
OG0000507	3	3
OG0000508	4	3
OG0000509	23	21
OG0000510	23	20
OG0000511	8	5
OG0000512	29	28
OG0000513	6	5
OG0000514	8	6
OG0000515	11	11
OG0000516	6	5
OG0000517	22	19
OG0000518	59	59
OG0000519	19	18
OG0000520	11	8
OG0000521	27	24
OG0000522	15	12
OG0000523	25	24
OG0000524	6	6
OG0000525	8	7
OG0000526	12	9
OG0000527	7	6
OG0000528	8	3
OG0000529	31	30
OG0000530	26	26
OG0000531	10	8
OG0000532	22	20
OG0000533	12	8
OG0000534	9	8
OG0000535	24	23
OG0000536	8	4
OG0000537	15	12
OG0000538	10	8
OG0000539	13	9
OG0000540	12	11
OG0000541	58	58
OG0000542	8	8
OG0000543	11	11
OG0000544	5	3
OG0000545	12	10
OG0000546	21	18
OG0000547	17	15
OG0000548	25	22
OG0000549	9	9
OG0000550	4	4
OG0000551	8	7
OG0000552	11	11
OG0000553	17	16
OG0000554	8	6
OG0000555	11	8
OG0000556	30	28
OG0000557	8	6
OG0000558	9	8
OG0000559	6	4
OG0000560	11	10
OG0000561	11	8
OG0000562	8	6
OG0000563	15	14
OG0000564	13	11
OG0000565	10	7
OG0000566	9	7
OG0000567	15	11
OG0000568	21	17
OG0000569	35	29
OG0000570	25	23
OG0000571	14	13
OG0000572	9	9
OG0000573	5	3
OG0000574	8	7
OG0000575	10	7
OG0000576	28	28
OG0000577	14	13
OG0000578	9	8
OG0000579	7	4
OG0000580	29	26
OG0000581	8	5
OG0000582	26	26
OG0000583	6	6
OG0000584	56	56
OG0000585	7	2
OG0000586	7	6
OG0000587	8	5
OG0000588	10	9
OG0000589	56	56
OG0000590	23	20
OG0000591	27	22
OG0000592	26	26
OG0000593	10	8
OG0000594	24	24
OG0000595	7	4
OG0000596	9	6
OG0000597	9	6
OG0000598	12	9
OG0000599	26	23
OG0000600	20	19
OG0000601	8	6
OG0000602	7	6
OG0000603	12	12
OG0000604	12	8
OG0000605	7	5
OG0000606	11	8
OG0000607	6	6
OG0000608	11	8
OG0000609	20	20
OG0000610	11	7
OG0000611	22	22
OG0000612	7	4
OG0000613	10	8
OG0000614	7	6
OG0000615	15	12
OG0000616	10	9
OG0000617	7	7
OG0000618	14	11
OG0000619	8	7
OG0000620	8	6
OG0000621	12	7
OG0000622	4	4
OG0000623	4	4
OG0000624	8	7
OG0000625	6	6
OG0000626	8	7
OG0000627	21	21
OG0000628	12	9
OG0000629	53	53
OG0000630	17	15
OG0000631	10	7
OG0000632	23	23
OG0000633	6	5
OG0000634	29	29
OG0000635	10	8
OG0000636	9	8
OG0000637	7	6
OG0000638	7	7
OG0000639	17	17
OG0000640	7	7
OG0000641	10	5
OG0000642	28	27
OG0000643	54	54
OG0000644	12	10
OG0000645	11	6
OG0000646	10	8
OG0000647	8	6
OG0000648	7	5
OG0000649	8	7
OG0000650	8	6
OG0000651	8	6
OG0000652	12	11
OG0000653	8	7
OG0000654	10	5
OG0000655	8	8
OG0000656	24	18
OG0000657	17	13
OG0000658	16	15
OG0000659	6	4
OG0000660	24	21
OG0000661	19	18
OG0000662	8	7
OG0000663	7	7
OG0000664	25	22
OG0000665	15	13
OG0000666	18	5
OG0000667	6	5
OG0000668	6	5
OG0000669	7	5
OG0000670	8	6
OG0000671	9	6
OG0000672	8	7
OG0000673	23	22
OG0000674	6	6
OG0000675	7	7
OG0000676	8	5
OG0000677	19	16
OG0000678	12	6
OG0000679	8	7
OG0000680	8	8
OG0000681	14	14
OG0000682	10	10
OG0000683	53	53
OG0000684	5	3
OG0000685	22	17
OG0000686	20	18
OG0000687	12	12
OG0000688	7	7
OG0000689	20	14
OG0000690	7	7
OG0000691	9	6
OG0000692	17	14
OG0000693	6	6
OG0000694	23	23
OG0000695	14	10
OG0000696	7	5
OG0000697	7	7
OG0000698	6	5
OG0000699	23	23
OG0000700	7	7
OG0000701	9	9
OG0000702	9	7
OG0000703	5	5
OG0000704	5	4
OG0000705	5	5
OG0000706	11	10
OG0000707	47	44
OG0000708	52	52
OG0000709	5	3
OG0000710	6	4
OG0000711	13	11
OG0000712	14	13
OG0000713	9	7
OG0000714	9	8
OG0000715	5	5
OG0000716	9	8
OG0000717	11	9
OG0000718	9	8
OG0000719	11	10
OG0000720	4	2
OG0000721	7	5
OG0000722	11	8
OG0000723	12	9
OG0000724	10	9
OG0000725	7	4
OG0000726	11	9
OG0000727	4	4
OG0000728	10	8
OG0000729	12	8
OG0000730	13	13
OG0000731	7	6
OG0000732	3	1
OG0000733	9	9
OG0000734	18	17
OG0000735	16	14
OG0000736	10	10
OG0000737	10	9
OG0000738	7	3
OG0000739	14	14
OG0000740	10	9
OG0000741	21	6
OG0000742	14	11
OG0000743	11	7
OG0000744	13	12
OG0000745	15	14
OG0000746	9	7
OG0000747	6	4
OG0000748	6	6
OG0000749	49	49
OG0000750	9	8
OG0000751	10	9
OG0000752	11	8
OG0000753	7	5
OG0000754	5	2
OG0000755	10	9
OG0000756	9	9
OG0000757	22	20
OG0000758	8	8
OG0000759	11	11
OG0000760	8	6
OG0000761	3	1
OG0000762	50	50
OG0000763	11	9
OG0000764	8	7
OG0000765	7	6
OG0000766	12	10
OG0000767	9	8
OG0000768	16	15
OG0000769	19	18
OG0000770	6	6
OG0000771	12	9
OG0000772	50	50
OG0000773	9	7
OG0000774	14	12
OG0000775	10	9
OG0000776	15	11
OG0000777	14	9
OG0000778	7	7
OG0000779	10	7
OG0000780	5	4
OG0000781	13	11
OG0000782	6	4
OG0000783	5	5
OG0000784	17	13
OG0000785	11	11
OG0000786	12	12
OG0000787	11	7
OG0000788	4	2
OG0000789	11	8
OG0000790	13	8
OG0000791	6	5
OG0000792	8	7
OG0000793	20	20
OG0000794	8	8
OG0000795	7	7
OG0000796	11	11
OG0000797	7	6
OG0000798	8	7
OG0000799	9	9
OG0000800	8	6
OG0000801	10	9
OG0000802	6	6
OG0000803	8	2
OG0000804	9	8
OG0000805	33	31
OG0000806	8	4
OG0000807	7	6
OG0000808	8	6
OG0000809	10	6
OG0000810	16	13
OG0000811	3	3
OG0000812	7	5
OG0000813	8	6
OG0000814	11	10
OG0000815	8	4
OG0000816	44	44
OG0000817	7	7
OG0000818	2	2
OG0000819	9	7
OG0000820	10	9
OG0000821	7	7
OG0000822	9	9
OG0000823	10	9
OG0000824	11	10
OG0000825	10	7
OG0000826	13	12
OG0000827	6	5
OG0000828	8	8
OG0000829	8	3
OG0000830	6	4
OG0000831	6	3
OG0000832	5	4
OG0000833	11	10
OG0000834	6	6
OG0000835	6	5
OG0000836	3	1
OG0000837	13	11
OG0000838	9	9
OG0000839	30	28
OG0000840	16	6
OG0000841	29	22
OG0000842	17	6
OG0000843	5	4
OG0000844	4	3
OG0000845	8	7
OG0000846	6	3
